Key,Page,Section,English,Khmer,Notes
quiz.notify_launch,quiz,CAPTURE,Notify me when self-serve launches,ជូនដំណឹងខ្ញុំនៅពេល self-serve ចាប់ផ្តើម,
quiz.pattern_line,quiz,RESULTS,This is one of the most common patterns I see.,នេះគឺជាលំនាំទូទៅបំផុតមួយដែលខ្ញុំឃើញ។,
quiz.q1_text,quiz,QUESTIONS,How did the majority of these emails get on your list?,តើអ៊ីមែលភាគច្រើនទាំងនេះបានមកក្នុងបញ្ជីរបស់អ្នកយ៉ាងដូចម្តេច?,
quiz.q2_text,quiz,QUESTIONS,Is your sending domain authenticated with DMARC?,តើ domain ផ្ញើរបស់អ្នកបានផ្ទៀងផ្ទាត់ជាមួយ DMARC ទេ?,DNT DMARC
quiz.q3_text,quiz,QUESTIONS,Have you run this list through a validation tool?,តើអ្នកបានដាក់បញ្ជីនេះតាមរយៈឧបករណ៍ validation ទេ?,
quiz.q4_text,quiz,QUESTIONS,What brought you here today?,តើអ្វីនាំអ្នកមកទីនេះថ្ងៃនេះ?,
quiz.ready_to_go,quiz,CAPTURE,Ready to go?,ត្រៀមខ្លួនរួចរាល់ហើយឬនៅ?,
quiz.request_contact,quiz,CAPTURE,Have someone reach out to discuss my situation (no sales pitch),ឱ្យនរណាម្នាក់ទាក់ទងមកពិភាក្សាអំពីស្ថានភាពរបស់ខ្ញុំ (គ្មានការលក់),
quiz.res_catchall_headline,quiz,RESULTS,Those ""Unknown"" addresses are not unknown to me.,អាសយដ្ឋាន ""Unknown"" ទាំងនោះមិនមែនមិនស្គាល់សម្រាប់ខ្ញុំទេ។,
quiz.res_catchall_reality,quiz,RESULTS,"A large percentage of business domains are catch-all. Validation marks them ""Unknown"" because it cannot verify.",ភាគរយដ៏ធំនៃ domain អាជីវកម្មគឺ catch-all។ Validation សម្គាល់ពួកវាថា ""Unknown"" ព្រោះវាមិនអាចផ្ទៀងផ្ទាត់បាន។,
quiz.res_catchall_subhead,quiz,RESULTS,Catch-all domains accept everything. Validation tools cannot tell you which addresses are real. I can.,Domain catch-all ទទួលយកអ្វីៗទាំងអស់។ ឧបករណ៍ validation មិនអាចប្រាប់អ្នកថាអាសយដ្ឋានណាពិតប្រាកដទេ។ ខ្ញុំអាច។,
quiz.res_crisis_headline,quiz,RESULTS,You need triage, not just cleaning.,អ្នកត្រូវការការសង្គ្រោះបន្ទាន់ មិនមែនគ្រាន់តែសម្អាតទេ។,
quiz.res_crisis_reality,quiz,RESULTS,You need a remediation strategy, not just a clean list. I help identify the root cause.,អ្នកត្រូវការយុទ្ធសាស្ត្រដោះស្រាយ មិនមែនគ្រាន់តែបញ្ជីស្អាតទេ។ ខ្ញុំជួយកំណត់មូលហេតុដើម។,
quiz.res_crisis_subhead,quiz,RESULTS,An ESP warning is the final straw. Your reputation is already damaged.,ការព្រមានពី ESP គឺជាចំបើងចុងក្រោយ។ កេរ្តិ៍ឈ្មោះរបស់អ្នកខូចខាតរួចទៅហើយ។,
quiz.res_decay_headline,quiz,RESULTS,Your list is slowly suffocating your delivery.,បញ្ជីរបស់អ្នកកំពុងបំផ្លាញការដឹកជញ្ជូនរបស់អ្នកយឺតៗ។,
quiz.res_decay_reality,quiz,RESULTS,This is the hardest problem to diagnose because there is no event.,នេះគឺជាបញ្ហាពិបាកបំផុតក្នុងការធ្វើរោគវិនិច្ឆ័យព្រោះមិនមានព្រឹត្តិការណ៍។,
quiz.res_decay_subhead,quiz,RESULTS,No bounce spike. No warning. Just a quiet decline as dead weight accumulates.,គ្មាន bounce spike។ គ្មានការព្រមាន។ គ្រាន់តែការធ្លាក់ចុះស្ងាត់ៗនៅពេលទម្ងន់ស្លាប់កើនឡើង។,
quiz.res_infra_headline,quiz,RESULTS,Your infrastructure may be the problem.,ហេដ្ឋារចនាសម្ព័ន្ធរបស់អ្នកអាចជាបញ្ហា។,
quiz.res_infra_reality,quiz,RESULTS,Domain authentication tells inbox providers you are who you say you are.,ការផ្ទៀងផ្ទាត់ Domain ប្រាប់អ្នកផ្តល់ inbox ថាអ្នកគឺជាអ្នកដែលអ្នកនិយាយ។,
quiz.res_infra_subhead,quiz,RESULTS,Without proper DMARC authentication, even a clean list can land in spam.,បើគ្មានការផ្ទៀងផ្ទាត់ DMARC ត្រឹមត្រូវ សូម្បីតែបញ្ជីស្អាតក៏អាចចូល spam បានដែរ។,DNT DMARC
quiz.res_noconsent_headline,quiz,RESULTS,We can absolutely help clean your list.,យើងពិតជាអាចជួយសម្អាតបញ្ជីរបស់អ្នកបាន។,
quiz.res_noconsent_reality,quiz,RESULTS,"We catch invalid addresses, spam traps, role accounts, and high-risk patterns that other validators miss.",យើងចាប់យកអាសយដ្ឋានមិនត្រឹមត្រូវ, spam traps, គណនី role, និងលំនាំហានិភ័យខ្ពស់ដែល validators ផ្សេងទៀតខកខាន។,
quiz.res_noconsent_subhead,quiz,RESULTS,Lists without explicit consent carry more risk—but that doesn't mean you can't send safely.,បញ្ជីដែលគ្មានការយល់ព្រមច្បាស់លាស់មានហានិភ័យច្រើនជាង—ប៉ុន្តែនោះមិនមានន័យថាអ្នកមិនអាចផ្ញើដោយសុវត្ថិភាពទេ។,
quiz.res_preventive_headline,quiz,RESULTS,You are in a good spot. Let's keep it that way.,អ្នកស្ថិតក្នុងស្ថានភាពល្អ។ តោះរក្សាវាឱ្យនៅដដែល។,
quiz.res_preventive_reality,quiz,RESULTS,You are doing the right things. A safety check ensures you do not accidentally hit a trap.,អ្នកកំពុងធ្វើរឿងត្រឹមត្រូវ។ ការពិនិត្យសុវត្ថិភាពធានាថាអ្នកមិនប៉ះអន្ទាក់ដោយចៃដន្យ។,
quiz.res_preventive_subhead,quiz,RESULTS,Healthy lists still decay by about 22% every year.,បញ្ជីដែលមានសុខភាពល្អនៅតែខូចប្រហែល 22% ជារៀងរាល់ឆ្នាំ។,
quiz.res_toolfail_headline,quiz,RESULTS,Your validation tool missed something.,ឧបករណ៍ validation របស់អ្នកបានខកខានអ្វីមួយ។,
quiz.res_toolfail_reality,quiz,RESULTS,Automated tools cannot see behavioral history. They check code, not context.,ឧបករណ៍ស្វ័យប្រវត្តិមិនអាចមើលឃើញប្រវត្តិអាកប្បកិរិយាទេ។ ពួកគេពិនិត្យកូដ មិនមែនបរិបទទេ។,
quiz.res_toolfail_subhead,quiz,RESULTS,You paid for syntax checking. You were punished for reputation.,អ្នកបានបង់ប្រាក់សម្រាប់ការពិនិត្យ syntax។ អ្នកត្រូវបានដាក់ទណ្ឌកម្មសម្រាប់កេរ្តិ៍ឈ្មោះ។,
quiz.save_diagnosis,quiz,CAPTURE,Save your diagnosis,រក្សាទុកការធ្វើរោគវិនិច្ឆ័យរបស់អ្នក,
quiz.send_results,quiz,CAPTURE,Send My Results,ផ្ញើលទ្ធផលរបស់ខ្ញុំ,
quiz.skip,quiz,CAPTURE,Skip,រំលង,
quiz.step_1_of_4,quiz,QUESTIONS,Question 1 of 4,សំណួរទី 1 នៃ 4,
quiz.what_this_means,quiz,RESULTS,What this means,អ្វីដែលនេះមានន័យ,
quiz.what_well_do,quiz,RESULTS,What we'll do,អ្វីដែលយើងនឹងធ្វើ,
sos.bridge_dfy_cta,sos-hotline,BRIDGE,See What You Get,មើលអ្វីដែលអ្នកទទួលបាន,
sos.bridge_dfy_desc,sos-hotline,BRIDGE,"Send us your list. We review every address and return it labeled: Keep, Monitor, or Suppress.","ផ្ញើបញ្ជីរបស់អ្នកមកយើង។ យើងពិនិត្យរាល់អាសយដ្ឋាន ហើយប្រគល់វាវិញដោយដាក់ស្លាក៖ Keep, Monitor, ឬ Suppress។",DNT Keep/Monitor/Suppress
sos.bridge_dfy_title,sos-hotline,BRIDGE,Done-For-You Review,ការត្រួតពិនិត្យពេញលេញ (Done-For-You),
sos.bridge_expert_cta,sos-hotline,BRIDGE,See the Process,មើលដំណើរការ,
sos.bridge_expert_desc,sos-hotline,BRIDGE,Every list review includes a walkthrough of your results. We explain what we found.,ការពិនិត្យបញ្ជីនីមួយៗរួមបញ្ចូលការពន្យល់លទ្ធផល។ យើងពន្យល់ពីអ្វីដែលយើងរកឃើញ។,
sos.bridge_expert_title,sos-hotline,BRIDGE,Expert Interpretation,ការបកស្រាយដោយអ្នកជំនាញ,
sos.bridge_intro,sos-hotline,BRIDGE,"SOS gives you guidance. If you need someone to actually touch your data, we offer:",SOS ផ្តល់ឱ្យអ្នកនូវការណែនាំ។ ប្រសិនបើអ្នកត្រូវការនរណាម្នាក់ឱ្យប៉ះទិន្នន័យរបស់អ្នក យើងផ្តល់ជូន៖,DNT SOS
sos.bridge_title,sos-hotline,BRIDGE,Need More Than Advice?,ត្រូវការច្រើនជាងដំបូន្មាន?,
sos.final_cta_subtext,sos-hotline,FINAL CTA,"Email us. Within 48 hours. Often sooner.","ផ្ញើអ៊ីមែលមកយើង។ ក្នុងរយៈពេល 48 ម៉ោង។ ជាញឹកញាប់លឿនជាងនេះ។",
sos.final_cta_title,sos-hotline,FINAL CTA,Ready to Ask Your Question?,ត្រៀមខ្លួនសួរសំណួររបស់អ្នកហើយឬនៅ?,
sos.how_step1,sos-hotline,HOW IT WORKS,You send an email to the SOS Hotline,អ្នកផ្ញើអ៊ីមែលទៅ SOS Hotline,DNT SOS Hotline
sos.how_step2,sos-hotline,HOW IT WORKS,You receive an automatic reply confirming we got it,អ្នកទទួលបានការឆ្លើយតបដោយស្វ័យប្រវត្តិបញ្ជាក់ថាយើងបានទទួលវា,
sos.how_step3,sos-hotline,HOW IT WORKS,YT personally reads and responds within 48 hours,Yanna-Torry អានផ្ទាល់ និងឆ្លើយតបក្នុងរយៈពេល 48 ម៉ោង,DNT YT
sos.topic_career_advice,sos-hotline,TOPICS,Career advice,ដំបូន្មានអាជីព,
sos.why_free_p1,sos-hotline,WHY FREE,We offer real help without charging because it is the right thing to do.,"យើងផ្តល់ជំនួយពិតប្រាកដដោយមិនគិតថ្លៃ ព្រោះវាជារឿងត្រឹមត្រូវ។ សំណួរភាគច្រើនស្ថិតនៅក្នុងលំនាំទូទៅដែលខ្ញុំឃើញរាល់សប្តាហ៍។ អ្នកខ្លះត្រូវការចម្លើយរហ័ស។ អ្នកខ្លះត្រូវការការគាំទ្រស៊ីជម្រៅ។ ទោះជាយ៉ាងណាក៏ដោយ ការសន្ទនាចាប់ផ្តើមដូចគ្នា។",
sos.why_free_p2,sos-hotline,WHY FREE,"If you need more than guidance, we offer done-for-you list reviews with expert interpretation included.","ប្រសិនបើអ្នកត្រូវការច្រើនជាងការណែនាំ យើងផ្តល់ជូនការត្រួតពិនិត្យបញ្ជីដែលធ្វើជូនអ្នក (Done-For-You) ជាមួយនឹងការបកស្រាយដោយអ្នកជំនាញ។ ប៉ុន្តែគ្មានសម្ពាធទេ។ SOS Hotline មានដើម្បីជួយ មិនមែនដើម្បីលក់ទេ។",
sos.why_free_tagline,sos-hotline,WHY FREE,Trust beats tactics.,ទំនុកចិត្តសំខាន់ជាងយុទ្ធសាស្ត្រ។,
sos.why_free_title,sos-hotline,WHY FREE,Why Is This Free?,ហេតុអ្វីបានជាវាឥតគិតថ្លៃ?,
